T,i,m,e
O,p,e,n
C,l,o,s,e
H,i,g,h
L,o,w
2024-10-03 14:00:00,0.84157,0.84151,0.84184,0.84143
2024-10-03 13:59:00,0.8415,0.84164,0.84167,0.84147
2024-10-03 13:58:00,0.84144,0.84149,0.84151,0.8414
2024-10-03 13:57:00,0.84149,0.84143,0.84151,0.84143
2024-10-03 13:56:00,0.84132,0.8415,0.84152,0.84132
2024-10-03 13:55:00,0.84137,0.84132,0.84137,0.84127
2024-10-03 13:54:00,0.84119,0.84138,0.84144,0.84119
2024-10-03 13:53:00,0.84135,0.8412,0.84141,0.84118
2024-10-03 13:52:00,0.84133,0.84135,0.84142,0.84132
2024-10-03 13:51:00,0.84128,0.84133,0.8414,0.84128
2024-10-03 13:50:00,0.84129,0.84127,0.84137,0.84127
2024-10-03 13:49:00,0.84137,0.84129,0.84143,0.84127
2024-10-03 13:48:00,0.84137,0.84136,0.84142,0.84133
2024-10-03 13:47:00,0.84134,0.84137,0.84143,0.84134
2024-10-03 13:46:00,0.84123,0.84134,0.84134,0.8412
2024-10-03 13:45:00,0.84113,0.84123,0.84127,0.84102
2024-10-03 13:44:00,0.84126,0.84113,0.84126,0.84102
2024-10-03 13:43:00,0.84132,0.84131,0.84138,0.84129
2024-10-03 13:42:00,0.84135,0.84132,0.84139,0.84129
2024-10-03 13:41:00,0.84126,0.84135,0.84135,0.84125
2024-10-03 13:40:00,0.84134,0.84126,0.84141,0.84126
2024-10-03 13:39:00,0.84143,0.84134,0.84146,0.84131
2024-10-03 13:38:00,0.84128,0.84144,0.84149,0.84127
2024-10-03 13:37:00,0.84132,0.84128,0.84134,0.84125
2024-10-03 13:36:00,0.84132,0.84132,0.84137,0.84129
2024-10-03 13:35:00,0.8414,0.84132,0.84143,0.84129
2024-10-03 13:34:00,0.84155,0.8414,0.8416,0.8414
2024-10-03 13:33:00,0.8415,0.84155,0.84157,0.8415
2024-10-03 13:32:00,0.84147,0.84152,0.84154,0.84146
2024-10-03 13:31:00,0.84152,0.84146,0.84153,0.84142
2024-10-03 13:30:00,0.84149,0.84152,0.84158,0.84147
2024-10-03 13:29:00,0.84159,0.84149,0.8416,0.84146
2024-10-03 13:28:00,0.8415,0.84156,0.84156,0.84147
2024-10-03 13:27:00,0.84151,0.8415,0.84153,0.84144
2024-10-03 13:26:00,0.84157,0.84152,0.84157,0.8415
2024-10-03 13:25:00,0.84153,0.84157,0.84159,0.84149
2024-10-03 13:24:00,0.84164,0.84152,0.84166,0.8415
2024-10-03 13:23:00,0.84155,0.84163,0.84164,0.84154
2024-10-03 13:22:00,0.8414,0.84154,0.84154,0.8414
2024-10-03 13:21:00,0.84133,0.84142,0.84143,0.84132
2024-10-03 13:20:00,0.84133,0.84133,0.84136,0.84127
2024-10-03 13:19:00,0.84152,0.84135,0.84157,0.84135
2024-10-03 13:18:00,0.84159,0.84152,0.8416,0.84152
2024-10-03 13:17:00,0.84159,0.84159,0.84164,0.84155
2024-10-03 13:16:00,0.84147,0.8416,0.8416,0.84145
2024-10-03 13:15:00,0.84142,0.84147,0.84156,0.84142
2024-10-03 13:14:00,0.84136,0.84143,0.84144,0.84135
2024-10-03 13:13:00,0.84136,0.84137,0.8414,0.84132
2024-10-03 13:12:00,0.84125,0.84136,0.84143,0.84125
2024-10-03 13:11:00,0.84133,0.84126,0.84133,0.84116
2024-10-03 13:10:00,0.84127,0.84133,0.84135,0.84127
2024-10-03 13:09:00,0.84143,0.84129,0.84145,0.84126
2024-10-03 13:08:00,0.84146,0.84144,0.84147,0.8414
2024-10-03 13:07:00,0.84139,0.84144,0.84145,0.84133
2024-10-03 13:06:00,0.8415,0.84139,0.84151,0.84139
2024-10-03 13:05:00,0.84137,0.84151,0.84152,0.84131
2024-10-03 13:04:00,0.84129,0.84137,0.84139,0.84122
2024-10-03 13:03:00,0.8413,0.84129,0.8414,0.84125
2024-10-03 13:02:00,0.8412,0.8413,0.8413,0.84113
2024-10-03 13:01:00,0.84115,0.84119,0.8412,0.8411
2024-10-03 13:00:00,0.84125,0.84115,0.84128,0.8411
2024-10-03 12:59:00,0.84125,0.84126,0.84136,0.84123
2024-10-03 12:58:00,0.84163,0.84125,0.84169,0.84122
2024-10-03 12:57:00,0.84154,0.84162,0.84168,0.8415
2024-10-03 12:56:00,0.84154,0.84154,0.8416,0.84152
2024-10-03 12:55:00,0.84156,0.84152,0.84158,0.84143
2024-10-03 12:54:00,0.84163,0.84156,0.84168,0.84155
2024-10-03 12:53:00,0.84166,0.84163,0.84169,0.84159
2024-10-03 12:52:00,0.84163,0.84164,0.84169,0.8416
2024-10-03 12:51:00,0.84135,0.84163,0.84163,0.84134
2024-10-03 12:50:00,0.84136,0.84136,0.84137,0.84126
2024-10-03 12:49:00,0.84137,0.84136,0.84141,0.8413
2024-10-03 12:48:00,0.84136,0.84137,0.84142,0.84133
2024-10-03 12:47:00,0.84144,0.84137,0.84149,0.84136
2024-10-03 12:46:00,0.84143,0.84145,0.84147,0.84137
2024-10-03 12:45:00,0.84139,0.84143,0.84146,0.84137
2024-10-03 12:44:00,0.84133,0.84139,0.84142,0.8413
2024-10-03 12:43:00,0.84116,0.84133,0.84135,0.84115
2024-10-03 12:42:00,0.84122,0.84116,0.84123,0.84112
2024-10-03 12:41:00,0.84122,0.84122,0.84129,0.84116
2024-10-03 12:40:00,0.84141,0.84122,0.8415,0.84122
2024-10-03 12:39:00,0.84147,0.84142,0.84167,0.8414
2024-10-03 12:38:00,0.84147,0.84147,0.84152,0.84142
2024-10-03 12:37:00,0.84149,0.84147,0.84149,0.8414
2024-10-03 12:36:00,0.8415,0.84149,0.84156,0.84136
2024-10-03 12:35:00,0.84149,0.8415,0.84163,0.84136
2024-10-03 12:34:00,0.84157,0.84149,0.84164,0.84143
2024-10-03 12:33:00,0.84193,0.84157,0.84201,0.84156
2024-10-03 12:32:00,0.84228,0.84196,0.84231,0.84193
2024-10-03 12:31:00,0.84193,0.84228,0.84229,0.84188
2024-10-03 12:30:00,0.84168,0.84193,0.84193,0.84157
2024-10-03 12:29:00,0.84179,0.84168,0.84183,0.84166
2024-10-03 12:28:00,0.8419,0.84179,0.84194,0.84175
2024-10-03 12:27:00,0.84176,0.8419,0.84191,0.84176
2024-10-03 12:26:00,0.84198,0.84177,0.84199,0.84174
2024-10-03 12:25:00,0.84197,0.84198,0.842,0.84188
2024-10-03 12:24:00,0.84206,0.84197,0.84207,0.84191
2024-10-03 12:23:00,0.8421,0.84206,0.8421,0.84203
2024-10-03 12:22:00,0.84219,0.8421,0.84219,0.84208
2024-10-03 12:21:00,0.8422,0.84219,0.84225,0.84215
2024-10-03 12:20:00,0.84221,0.8422,0.84231,0.8422
2024-10-03 12:19:00,0.8422,0.84222,0.84225,0.84218
2024-10-03 12:18:00,0.84222,0.84221,0.84227,0.84219
2024-10-03 12:17:00,0.84219,0.84223,0.84232,0.84218
2024-10-03 12:16:00,0.84234,0.84219,0.84235,0.84217
2024-10-03 12:15:00,0.84231,0.84234,0.84234,0.84223
2024-10-03 12:14:00,0.84233,0.84232,0.84237,0.84228
2024-10-03 12:13:00,0.84239,0.84233,0.8424,0.84231
2024-10-03 12:12:00,0.84281,0.8424,0.84282,0.84239
2024-10-03 12:11:00,0.84269,0.84281,0.84282,0.84269
2024-10-03 12:10:00,0.84259,0.84269,0.84272,0.84255
2024-10-03 12:09:00,0.84244,0.84261,0.84261,0.84239
2024-10-03 12:08:00,0.84238,0.84244,0.84245,0.84237
2024-10-03 12:07:00,0.84225,0.84239,0.84239,0.84225
2024-10-03 12:06:00,0.84223,0.84225,0.84228,0.84222
2024-10-03 12:05:00,0.8423,0.84223,0.84235,0.84218
2024-10-03 12:04:00,0.84223,0.84229,0.84234,0.8422
2024-10-03 12:03:00,0.84209,0.84223,0.84223,0.84209
2024-10-03 12:02:00,0.84203,0.84209,0.84212,0.84194
2024-10-03 12:01:00,0.84202,0.84203,0.84208,0.84202
2024-10-03 12:00:00,0.84211,0.84201,0.84213,0.84201
2024-10-03 11:59:00,0.84204,0.84211,0.84211,0.842
2024-10-03 11:58:00,0.84221,0.84204,0.84224,0.84198
2024-10-03 11:57:00,0.84224,0.84221,0.84225,0.84207
2024-10-03 11:56:00,0.84221,0.84224,0.84225,0.84218
2024-10-03 11:55:00,0.84221,0.84219,0.84223,0.84217
2024-10-03 11:54:00,0.84227,0.84221,0.84232,0.84221
2024-10-03 11:53:00,0.84197,0.84228,0.84229,0.84197
2024-10-03 11:52:00,0.84202,0.84198,0.84206,0.84196
2024-10-03 11:51:00,0.84196,0.84202,0.84205,0.84196
2024-10-03 11:50:00,0.84194,0.84196,0.84203,0.84188
2024-10-03 11:49:00,0.84191,0.84194,0.84203,0.84188
2024-10-03 11:48:00,0.84208,0.84192,0.84208,0.84188
2024-10-03 11:47:00,0.84211,0.84208,0.84212,0.842
2024-10-03 11:46:00,0.84225,0.84211,0.84227,0.84211
2024-10-03 11:45:00,0.84244,0.84225,0.84244,0.84217
2024-10-03 11:44:00,0.84274,0.84244,0.84276,0.84244
2024-10-03 11:43:00,0.84274,0.84274,0.84276,0.84271
2024-10-03 11:42:00,0.84266,0.84273,0.84274,0.84266
2024-10-03 11:41:00,0.84269,0.84268,0.84276,0.84265
2024-10-03 11:40:00,0.84292,0.84269,0.84295,0.84268
2024-10-03 11:39:00,0.84293,0.84292,0.84298,0.84291
2024-10-03 11:38:00,0.84318,0.84293,0.8432,0.84293
2024-10-03 11:37:00,0.8434,0.84318,0.8434,0.84318
2024-10-03 11:36:00,0.8434,0.84339,0.84342,0.84336
2024-10-03 11:35:00,0.8433,0.8434,0.84343,0.84329
2024-10-03 11:34:00,0.84318,0.84331,0.84331,0.84316
2024-10-03 11:33:00,0.84301,0.84317,0.84319,0.84296
2024-10-03 11:32:00,0.84293,0.84301,0.84302,0.84288
2024-10-03 11:31:00,0.84295,0.84293,0.84301,0.84291
2024-10-03 11:30:00,0.84272,0.84295,0.84296,0.84272
2024-10-03 11:29:00,0.84264,0.84272,0.84276,0.84264
2024-10-03 11:28:00,0.84278,0.84264,0.84279,0.84263
2024-10-03 11:27:00,0.84278,0.84278,0.84281,0.84274
2024-10-03 11:26:00,0.84279,0.84278,0.84286,0.84275
2024-10-03 11:25:00,0.8427,0.84279,0.84281,0.8427
2024-10-03 11:24:00,0.84264,0.8427,0.84272,0.84263
2024-10-03 11:23:00,0.84256,0.84264,0.84265,0.84251
2024-10-03 11:22:00,0.84257,0.84256,0.84259,0.84254
2024-10-03 11:21:00,0.84257,0.84257,0.8426,0.84249
2024-10-03 11:20:00,0.84266,0.84257,0.84268,0.84255
2024-10-03 11:19:00,0.84255,0.84265,0.84272,0.84255
2024-10-03 11:18:00,0.84251,0.84256,0.84264,0.84249
2024-10-03 11:17:00,0.84241,0.84251,0.84253,0.84241
2024-10-03 11:16:00,0.84218,0.84241,0.84247,0.84217
2024-10-03 11:15:00,0.8421,0.84214,0.84217,0.8421
2024-10-03 11:14:00,0.842,0.84211,0.84211,0.84196
2024-10-03 11:13:00,0.84186,0.842,0.84201,0.84186
2024-10-03 11:12:00,0.84183,0.84184,0.84187,0.84181
2024-10-03 11:11:00,0.84184,0.84184,0.84188,0.84182
2024-10-03 11:10:00,0.84193,0.84184,0.84194,0.84181
2024-10-03 11:09:00,0.842,0.84193,0.842,0.84188
2024-10-03 11:08:00,0.84194,0.842,0.84204,0.84193
2024-10-03 11:07:00,0.84193,0.84194,0.84198,0.84193
2024-10-03 11:06:00,0.84199,0.84194,0.842,0.84192
2024-10-03 11:05:00,0.842,0.84199,0.84207,0.84196
2024-10-03 11:04:00,0.84201,0.84201,0.84207,0.84198
2024-10-03 11:03:00,0.84191,0.84201,0.84204,0.8419
2024-10-03 11:02:00,0.84199,0.8419,0.842,0.84185
2024-10-03 11:01:00,0.84194,0.84199,0.84203,0.84193
2024-10-03 11:00:00,0.84183,0.84194,0.84198,0.84183
2024-10-03 10:59:00,0.84176,0.84183,0.84183,0.84174
2024-10-03 10:58:00,0.84176,0.84176,0.84181,0.84174
2024-10-03 10:57:00,0.84174,0.84176,0.84186,0.84174
2024-10-03 10:56:00,0.84157,0.84174,0.84174,0.84152
2024-10-03 10:55:00,0.84163,0.84157,0.84164,0.84157
2024-10-03 10:54:00,0.84169,0.84163,0.8417,0.8416
2024-10-03 10:53:00,0.84167,0.84169,0.84179,0.84167
2024-10-03 10:52:00,0.84169,0.84168,0.84175,0.84167
2024-10-03 10:51:00,0.84171,0.84171,0.84183,0.8417
2024-10-03 10:50:00,0.8417,0.84171,0.84171,0.84166
2024-10-03 10:49:00,0.84153,0.8417,0.8417,0.8415
2024-10-03 10:48:00,0.84157,0.84152,0.84157,0.84147
2024-10-03 10:47:00,0.84144,0.84155,0.84159,0.84142
2024-10-03 10:46:00,0.84148,0.84143,0.84148,0.84142
2024-10-03 10:45:00,0.84146,0.84149,0.8415,0.84144
2024-10-03 10:44:00,0.84149,0.84146,0.8415,0.84144
2024-10-03 10:43:00,0.84147,0.8415,0.84155,0.84147
T,i,m,e
O,p,e,n
C,l,o,s,e
H,i,g,h
L,o,w
2024-10-05 10:40:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:39:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:38:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:37:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:36:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:35:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:34:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:33:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:32:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:31:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:30:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:29:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:28:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:27:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:26:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:25:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:24:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:23:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:22:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:21:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:20:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:19:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:18:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:17:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:16:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:15:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:14:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:13:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:12:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:11:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:10:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:09:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:08:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:07:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:06:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:05:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:04:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:03:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:02:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 10:01:00,1.0975,1.0975,1.0975,1.0975
